ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20200803,13.47,13.62,13.43,13.59,13.34,0.25,1.8741,1445096.16,1954607.257
000002.SZ,20200803,27.02,27.35,26.92,27.28,26.84,0.44,1.6393,1062237.06,2878942.644
688488.SH,20200803,41.75,43.48,40.86,42.05,41.89,0.16,0.382,132926.52,557514.886
872808.BJ,20200803,69.88,70.08,68.88,70.08,65.8,4.28,6.5046,82.0,572.778
872925.BJ,20200803,21.5,21.5,21.5,21.5,27.77,-6.27,-22.5783,100.0,215.0
000001.SZ,20200804,13.66,14.15,13.48,14.04,13.59,0.45,3.3113,2445663.25,3388510.059
000002.SZ,20200804,27.4,27.95,27.07,27.74,27.28,0.46,1.6862,1246383.36,3425728.931
688488.SH,20200804,42.26,43.58,41.62,42.49,42.05,0.44,1.0464,109483.57,465459.831
872808.BJ,20200804,70.16,70.2,70.0,70.0,70.08,-0.08,-0.1142,21.42,150.156
000001.SZ,20200805,13.82,13.85,13.62,13.76,14.04,-0.28,-1.9943,1440203.13,1980352.978
000002.SZ,20200805,27.5,27.56,27.11,27.35,27.74,-0.39,-1.4059,811323.58,2215309.569
688488.SH,20200805,41.8,41.8,39.9,40.51,42.49,-1.98,-4.6599,105437.96,428608.707
872808.BJ,20200805,68.5,71.5,68.5,68.5,70.0,-1.5,-2.1429,51.49,357.456
872925.BJ,20200805,21.5,27.8,21.5,27.8,21.5,6.3,29.3023,19.0,46.52
000001.SZ,20200806,13.82,13.96,13.65,13.9,13.76,0.14,1.0174,1352510.68,1868047.342
000002.SZ,20200806,27.38,27.63,26.99,27.38,27.35,0.03,0.1097,827242.1,2253354.54
688488.SH,20200806,39.78,40.72,37.7,38.08,40.51,-2.43,-5.9985,111880.88,434625.107
872808.BJ,20200806,67.05,68.5,62.97,62.97,68.5,-5.53,-8.073,169.68,1103.521
000001.SZ,20200807,13.8,13.9,13.62,13.7,13.9,-0.2,-1.4388,988678.37,1356305.781
000002.SZ,20200807,27.19,27.36,26.9,27.03,27.38,-0.35,-1.2783,664062.85,1798228.229
688488.SH,20200807,37.75,38.38,36.0,37.14,38.08,-0.94,-2.4685,76214.27,281814.466
872808.BJ,20200807,62.55,62.56,61.66,61.66,62.97,-1.31,-2.0804,39.0,243.039
872925.BJ,20200807,21.6,22.46,21.6,22.46,27.8,-5.34,-19.2086,14.0,31.014
000001.SZ,20200810,13.67,14.02,13.62,13.95,13.7,0.25,1.8248,1587710.35,2208568.316
000002.SZ,20200810,27.08,27.94,27.05,27.81,27.03,0.78,2.8857,1052840.04,2908314.678
688488.SH,20200810,37.14,38.28,37.09,37.7,37.14,0.56,1.5078,46646.77,175229.545
872808.BJ,20200810,58.55,62.97,58.55,62.97,61.66,1.31,2.1246,12.0,70.702
872925.BJ,20200810,27.5,27.5,27.5,27.5,22.46,5.04,22.4399,5.0,13.75
000001.SZ,20200811,13.97,14.66,13.97,14.13,13.95,0.18,1.2903,2603307.89,3748036.828
000002.SZ,20200811,27.92,28.44,27.81,27.88,27.81,0.07,0.2517,1038365.84,2917894.974
688488.SH,20200811,37.28,37.62,35.57,35.93,37.7,-1.77,-4.695,55772.71,203274.937
872808.BJ,20200811,61.04,64.44,61.04,64.44,62.97,1.47,2.3344,7.0,43.261
000001.SZ,20200812,14.21,14.5,14.15,14.38,14.13,0.25,1.7693,1596811.7,2287731.088
000002.SZ,20200812,27.89,28.71,27.8,28.71,27.88,0.83,2.977,1249774.08,3535287.161
688488.SH,20200812,36.05,36.18,34.8,35.02,35.93,-0.91,-2.5327,40747.53,143364.051
872808.BJ,20200812,60.1,66.0,60.06,66.0,64.44,1.56,2.4209,41.0,258.738
000001.SZ,20200813,14.4,14.46,14.14,14.18,14.38,-0.2,-1.3908,837261.75,1190139.725
000002.SZ,20200813,28.83,29.06,28.31,28.6,28.71,-0.11,-0.3831,790902.89,2261412.098
688488.SH,20200813,35.41,36.3,34.68,35.47,35.02,0.45,1.285,43219.06,154091.274
000001.SZ,20200814,14.1,14.51,14.06,14.47,14.18,0.29,2.0451,1103215.82,1578543.607
000002.SZ,20200814,27.9,27.9,27.15,27.68,27.58,0.1,0.3626,940947.34,2592380.291
688488.SH,20200814,35.4,35.86,34.8,35.53,35.47,0.06,0.1692,26566.53,93786.253
872808.BJ,20200814,58.88,61.02,58.88,61.0,66.0,-5.0,-7.5758,13.0,78.882
872925.BJ,20200814,27.4,27.4,27.4,27.4,27.5,-0.1,-0.3636,1.0,2.74
000001.SZ,20200817,14.6,15.35,14.55,15.19,14.47,0.72,4.9758,3268027.8,4923669.137
000002.SZ,20200817,27.74,28.65,27.56,28.21,27.68,0.53,1.9147,1347817.83,3808676.655
688488.SH,20200817,35.75,36.69,35.6,36.4,35.53,0.87,2.4486,31995.77,115922.516
872808.BJ,20200817,63.25,66.64,63.25,63.25,61.0,2.25,3.6885,57.6,366.799
000001.SZ,20200818,15.2,15.3,14.91,15.15,15.19,-0.04,-0.2633,1350261.07,2033477.707
000002.SZ,20200818,28.21,28.28,27.5,27.7,28.21,-0.51,-1.8079,848392.64,2355345.99
688488.SH,20200818,36.38,36.5,35.28,35.47,36.4,-0.93,-2.5549,39419.79,140740.326
872808.BJ,20200818,60.68,65.48,60.68,65.48,63.25,2.23,3.5257,12.0,75.546
000001.SZ,20200819,15.11,15.35,14.96,15.1,15.15,-0.05,-0.33,1420928.11,2154215.097
000002.SZ,20200819,27.64,27.9,27.3,27.44,27.7,-0.26,-0.9386,730576.97,2011514.008
688488.SH,20200819,35.18,35.48,32.79,33.09,35.47,-2.38,-6.7099,59920.38,202850.983
872808.BJ,20200819,60.65,62.45,60.01,60.01,65.48,-5.47,-8.3537,41.0,247.952
000001.SZ,20200820,15.01,15.14,14.53,14.59,15.1,-0.51,-3.3775,1333801.62,1962605.013
000002.SZ,20200820,27.35,27.53,27.16,27.48,27.44,0.04,0.1458,568975.97,1555164.387
688488.SH,20200820,33.0,33.0,31.76,32.02,33.09,-1.07,-3.2336,31901.96,103053.73
872808.BJ,20200820,58.21,62.97,58.21,58.58,60.01,-1.43,-2.3829,17.9,105.26
872925.BJ,20200820,21.0,21.0,21.0,21.0,27.4,-6.4,-23.3577,1.0,2.1
000001.SZ,20200821,14.71,14.71,14.32,14.45,14.59,-0.14,-0.9596,1234517.33,1787278.581
000002.SZ,20200821,27.74,27.76,27.21,27.36,27.48,-0.12,-0.4367,515551.08,1412631.491
688488.SH,20200821,32.52,32.52,31.64,31.84,32.02,-0.18,-0.5621,22262.06,71380.727
872808.BJ,20200821,61.5,61.5,60.0,60.0,58.58,1.42,2.424,11.0,66.15
872925.BJ,20200821,13.86,13.86,13.86,13.86,21.0,-7.14,-34.0,1.0,1.386
000001.SZ,20200824,14.5,14.71,14.41,14.46,14.45,0.01,0.0692,919448.86,1338031.969
000002.SZ,20200824,27.58,27.75,27.1,27.13,27.36,-0.23,-0.8406,566269.2,1549031.069
688488.SH,20200824,31.82,33.37,30.68,32.9,31.84,1.06,3.3291,43316.18,138614.103
000001.SZ,20200825,14.56,14.69,14.46,14.6,14.46,0.14,0.9682,748320.22,1090756.854
000002.SZ,20200825,27.19,27.45,27.12,27.19,27.13,0.06,0.2212,489635.32,1334277.356
688488.SH,20200825,32.51,32.99,32.04,32.06,32.9,-0.84,-2.5532,25594.76,82699.625
872808.BJ,20200825,60.9,64.99,60.01,60.01,60.0,0.01,0.0167,94.91,598.676
872925.BJ,20200825,20.0,21.0,20.0,21.0,13.86,7.14,51.5152,5.0,10.1
000001.SZ,20200826,14.6,14.61,14.28,14.37,14.6,-0.23,-1.5753,734117.72,1057274.169
000002.SZ,20200826,27.12,27.43,26.96,27.08,27.19,-0.11,-0.4046,520893.56,1414456.519
688488.SH,20200826,31.99,33.92,31.64,32.72,32.06,0.66,2.0586,47536.51,157020.862
872808.BJ,20200826,61.45,61.45,59.98,59.98,60.01,-0.03,-0.05,109.11,660.168
000001.SZ,20200827,14.4,14.46,14.11,14.46,14.37,0.09,0.6263,626666.77,895618.648
000002.SZ,20200827,27.09,27.17,26.54,26.95,27.08,-0.13,-0.4801,541847.19,1451853.794
688488.SH,20200827,32.41,33.89,31.82,33.08,32.72,0.36,1.1002,35266.03,116855.751
872808.BJ,20200827,60.92,60.92,60.88,60.88,59.98,0.9,1.5005,38.0,231.423
000001.SZ,20200828,14.26,15.18,14.26,15.13,14.46,0.67,4.6335,2410400.02,3599035.694
000002.SZ,20200828,27.03,27.74,27.03,27.57,26.95,0.62,2.3006,891557.21,2453608.315
688488.SH,20200828,32.83,33.1,32.3,32.89,33.08,-0.19,-0.5744,23640.74,77321.66
872808.BJ,20200828,60.85,60.85,60.85,60.85,60.88,-0.03,-0.0493,16.45,100.098
872925.BJ,20200828,21.88,21.88,21.88,21.88,21.0,0.88,4.1905,10.0,21.88
000001.SZ,20200831,15.3,15.68,14.99,15.08,15.13,-0.05,-0.3305,1797129.54,2760350.322
000002.SZ,20200831,27.61,27.85,27.18,27.27,27.57,-0.3,-1.0881,803902.43,2211848.528
688488.SH,20200831,32.9,33.6,32.8,33.01,32.89,0.12,0.3649,19447.66,64327.133
872808.BJ,20200831,56.57,58.0,56.57,58.0,60.85,-2.85,-4.6836,19.45,112.602
